2,9,29,30,31,35,37
5,8,9,28,32,48,50
1,21,34,38,39,40,46
1,2,5,11,20,30,39
1,2,16,32,44,46,50
3,22,37,39,41,43,44
9,17,22,33,36,45,46
9,21,26,28,30,37,44
18,24,25,30,31,33,48
8,16,19,22,28,31,38
7,10,11,24,39,43,48
17,20,27,29,37,39,41
7,22,26,35,46,47,49
5,11,15,18,20,24,46
3,9,21,35,44,47,48
17,18,27,38,39,40,47
9,20,21,22,25,26,37
3,4,21,33,38,44,45
11,12,22,33,37,48,49
8,14,31,36,39,46,47
2,3,6,13,37,42,46
3,12,17,22,29,31,48
1,3,22,30,31,37,40
1,16,24,28,30,31,47
4,16,19,32,35,36,38
1,8,15,16,32,39,40
8,14,16,17,29,41,42
5,12,15,23,26,38,41
5,27,34,37,39,41,47
9,11,14,21,22,24,41
22,23,24,25,37,40,49
7,30,32,40,47,48,50
11,19,22,26,33,46,48
3,4,10,11,26,28,40
25,28,32,41,42,44,45
3,12,25,36,37,42,49
9,18,23,36,39,43,48
8,9,19,26,27,31,46
9,10,13,21,40,41,43
2,15,21,29,40,47,50
3,6,9,22,29,38,39
3,9,10,14,15,19,20
5,20,21,22,32,37,41
5,9,10,25,27,29,38
5,7,22,29,32,37,39
3,4,13,14,30,36,41
2,11,16,18,19,20,25
9,16,17,18,21,22,27
4,5,8,15,27,41,48
7,14,15,35,36,49,50
5,6,27,37,38,46,48
2,9,10,35,41,42,47
10,14,15,25,27,39,48
21,27,30,32,33,36,46
15,32,36,40,41,43,48
4,7,14,37,48,49,50
3,6,19,23,33,40,45
14,17,20,34,38,45,49
14,15,19,22,31,36,39
21,24,26,31,36,48,49
3,12,18,25,43,46,50
2,27,30,39,44,45,49
4,10,12,27,30,44,46
2,11,14,21,23,34,36
7,11,16,21,31,36,44
5,6,36,39,40,46,48
5,16,19,23,30,37,48
10,13,14,24,28,47,48
3,8,12,14,17,18,29
8,18,20,24,31,37,39
3,4,11,19,30,39,40
13,27,34,36,38,45,50
1,6,12,13,19,23,38
14,23,28,29,30,33,48
19,20,23,29,35,40,47
2,12,14,15,26,34,39
7,11,19,30,42,43,50
9,11,17,19,35,36,43
2,10,20,30,32,35,50
3,8,14,15,24,33,48
13,14,18,22,42,44,47
5,9,23,29,30,31,37
